4x4 05.txt DFS AVG from:30iterations, max depth: 5
Order, Duration, Visited, Processed, MaxDepth
URLD, 1430.67, 2.77355e+07, 8.57284e+06, 9
URDL, 1397.3, 2.86358e+07, 8.85131e+06, 9
UDLR, 4276.13, 3.04853e+07, 9.42309e+06, 9
UDRL, 4739.67, 3.31618e+07, 1.02504e+07, 9
DLRU, 6407.17, 3.63512e+07, 1.12361e+07, 9
DLUR, 6223.83, 4.01657e+07, 1.24149e+07, 9
DRLU, 5992.3, 4.39086e+07, 1.35717e+07, 9
DRUL, 5357.83, 4.72807e+07, 1.46137e+07, 9
DULR, 5998.47, 5.05938e+07, 1.56375e+07, 9
DURL, 5114.97, 5.39846e+07, 1.66855e+07, 9


4x4 10.txt DFS AVG from:30iterations, max depth: 10 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 19228.8, 4.54621e+06, 1.4049e+06, 10
LRDU, 20927.3, 1.51937e+07, 4.69525e+06, 10
LURD, 2286.8, 2.1937e+07, 6.77924e+06, 10
LUDR, 5485.7, 2.4299e+07, 7.50942e+06, 10
LDRU, 23377.4, 3.31258e+07, 1.02371e+07, 10
LDUR, 11318.5, 4.34375e+07, 1.34237e+07, 10
RLUD, 13914.1, 5.11905e+07, 1.58196e+07, 10
RLDU, 20358.4, 6.17106e+07, 1.90706e+07, 10
RULD, 13714.6, 7.18841e+07, 2.22144e+07, 10
RUDL, 13787.5, 8.01102e+07, 2.47565e+07, 10
RDLU, 20149.9, 9.04066e+07, 2.79383e+07, 10
RDUL, 18066.9, 1.02417e+08, 3.16499e+07, 10
ULRD, 1535.9, 1.08654e+08, 3.35773e+07, 10
ULDR, 4215.9, 1.10576e+08, 3.41716e+07, 10
URLD, 1392.9, 1.12375e+08, 3.47277e+07, 10
URDL, 1334.93, 1.13275e+08, 3.50062e+07, 10
UDLR, 4225.7, 1.15125e+08, 3.5578e+07, 10
UDRL, 4007.03, 1.17801e+08, 3.64054e+07, 10
DLRU, 21668, 1.26343e+08, 3.90449e+07, 10
DLUR, 10359.1, 1.36644e+08, 4.22281e+07, 10
DRLU, 21351.4, 1.47122e+08, 4.54664e+07, 10
DRUL, 20679.2, 1.60853e+08, 4.97095e+07, 10
DULR, 9845.57, 1.70652e+08, 5.27377e+07, 10
DURL, 9474, 1.76907e+08, 5.46705e+07, 10


