4x4 05.txt IDFS AVG from:30iterations, max depth: 6 
Order, Duration, Visited, Processed, MaxDepth
RDLU, 6495, 4.29195e+07, 1.3266e+07, 9
RDUL, 5590.5, 4.66431e+07, 1.4417e+07, 9
ULRD, 5001.3, 4.99445e+07, 1.54375e+07, 9
ULDR, 7637.3, 5.39383e+07, 1.66721e+07, 9
URLD, 4692.6, 5.78089e+07, 1.78686e+07, 9
URDL, 4682.43, 6.07809e+07, 1.87874e+07, 9
UDLR, 7591.3, 6.4702e+07, 1.99995e+07, 9
UDRL, 7819.37, 6.94502e+07, 2.14672e+07, 9
DLRU, 9550.3, 7.47113e+07, 2.30932e+07, 9
DLUR, 9618.17, 8.05974e+07, 2.49124e+07, 9
DRLU, 9001.03, 8.6412e+07, 2.67095e+07, 9
DRUL, 8196.4, 9.18557e+07, 2.83919e+07, 9
DULR, 8684.03, 9.72404e+07, 3.00561e+07, 9
DURL, 8490.07, 1.02703e+08, 3.17444e+07, 9


4x4 10.txt IDFS AVG from:30iterations, max depth: 11 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 30934.8, 8.01007e+06, 2.47541e+06, 10
LRDU, 31720.5, 2.53618e+07, 7.83771e+06, 10
LURD, 13359.5, 3.88093e+07, 1.19936e+07, 10
LUDR, 15900.5, 4.78756e+07, 1.47958e+07, 10
LDRU, 34481.8, 6.34067e+07, 1.95954e+07, 10
LDUR, 21299.9, 8.04226e+07, 2.4854e+07, 10
RLUD, 24249.4, 9.48798e+07, 2.93218e+07, 10
RLDU, 29124.8, 1.12104e+08, 3.46447e+07, 10
RULD, 23590, 1.28982e+08, 3.98605e+07, 10
RUDL, 22642.4, 1.43912e+08, 4.44745e+07, 10
RDLU, 28935.7, 1.60913e+08, 4.97283e+07, 10
RDUL, 28348.6, 1.79628e+08, 5.55119e+07, 10
ULRD, 11728.5, 1.92569e+08, 5.95112e+07, 10
ULDR, 14482.9, 2.01195e+08, 6.21774e+07, 10
URLD, 11883.7, 2.09698e+08, 6.48055e+07, 10
URDL, 11433.1, 2.17303e+08, 6.7156e+07, 10
UDLR, 14431.8, 2.25857e+08, 6.97997e+07, 10
UDRL, 14157.9, 2.35238e+08, 7.2699e+07, 10
DLRU, 31587.6, 2.50483e+08, 7.74106e+07, 10
DLUR, 20622.1, 2.67488e+08, 8.26657e+07, 10
DRLU, 31593.8, 2.84671e+08, 8.79759e+07, 10
DRUL, 30826.4, 3.05106e+08, 9.42909e+07, 10
DULR, 20130.2, 3.2161e+08, 9.93911e+07, 10
DURL, 19718.7, 3.34568e+08, 1.03396e+08, 10


